0,0,255,255
0,238,0,255
255,181,197,255
3,168,158,255
46,139,87,255
84,139,84,255
205,150,205,255
104,34,139,255
139,10,80,255
64,224,208,255
139,95,101,255
122,103,238,255
93,71,139,255
28,134,238,255
79,148,205,255
238,203,173,255
219,112,147,255
102,139,139,255
171,130,255,255
50,205,50,255
151,255,255,255
139,76,57,255
250,250,210,255
255,128,0,255
189,183,107,255
148,0,211,255
108,166,205,255
162,181,205,255
238,220,130,255
255,48,48,255
139,125,123,255
118,238,0,255
0,128,0,255
142,229,238,255
255,231,186,255
224,102,255,255
95,158,160,255
139,121,94,255
106,90,205,255
147,112,219,255
255,185,15,255
139,28,98,255
205,50,120,255
238,238,209,255
255,192,203,255
139,126,102,255
205,175,149,255
238,121,159,255
193,255,193,255
205,16,118,255
139,58,98,255
238,233,191,255
238,92,66,255
184,134,11,255
173,255,47,255
139,0,0,255
144,238,144,255
255,110,180,255
139,115,85,255
83,134,139,255
255,105,180,255
205,155,155,255
155,205,155,255
205,133,63,255
197,193,170,255
119,136,153,255
173,216,230,255
205,91,69,255
205,183,181,255
205,149,12,255
141,238,238,255
255,235,205,255
139,99,108,255
205,205,193,255
188,210,238,255
176,196,222,255
72,209,204,255
143,188,143,255
75,0,130,255
255,160,122,255
255,106,106,255
67,205,128,255
178,58,238,255
252,230,201,255
238,207,161,255
238,180,34,255
128,128,105,255
139,105,105,255
238,230,133,255
99,184,255,255
255,62,150,255
205,85,85,255
25,25,112,255
0,201,87,255
72,118,255,255
255,236,139,255
238,173,14,255
238,59,59,255
205,102,29,255
0,250,154,255
141,182,205,255
238,118,33,255
238,223,204,255
210,105,30,255
205,193,197,255
255,131,250,255
255,218,185,255
105,89,205,255
131,111,255,255
135,206,235,255
121,205,205,255
125,158,192,255
126,192,238,255
238,130,98,255
255,187,255,255
238,213,183,255
154,205,50,255
96,123,139,255
0,0,205,255
191,62,255,255
230,230,250,255
238,169,184,255
255,127,36,255
179,238,58,255
139,129,76,255
255,140,105,255
108,123,139,255
0,206,209,255
238,106,167,255
198,113,113,255
205,0,0,255
240,248,255,255
110,139,61,255
238,216,174,255
139,101,8,255
132,112,255,255
0,229,238,255
0,100,0,255
238,0,238,255
255,127,0,255
139,34,82,255
238,238,224,255
210,180,140,255
186,85,211,255
123,104,238,255
0,255,127,255
205,173,0,255
205,197,191,255
205,190,112,255
255,193,193,255
70,130,180,255
139,35,35,255
122,139,139,255
205,129,98,255
139,123,139,255
255,64,64,255
255,228,196,255
102,205,170,255
233,150,122,255
255,69,0,255
255,211,155,255
255,165,0,255
238,122,233,255
205,155,29,255
205,41,144,255
205,181,205,255
48,128,20,255
238,149,114,255
127,255,212,255
72,61,139,255
205,104,137,255
208,32,144,255
139,134,78,255
255,239,213,255
0,0,128,255
0,178,238,255
152,245,255,255
164,211,238,255
139,37,0,255
255,140,0,255
180,82,205,255
78,238,148,255
0,104,139,255
174,238,238,255
30,144,255,255
0,139,0,255
24,116,205,255
205,198,115,255
94,38,18,255
34,139,34,255
224,238,224,255
0,0,238,255
205,205,180,255
139,137,112,255
205,201,165,255
124,205,124,255
250,128,114,255
0,205,0,255
0,205,102,255
221,160,221,255
155,48,255,255
255,250,205,255
255,228,225,255
253,245,230,255
238,121,66,255
58,95,205,255
255,52,179,255
205,51,51,255
105,139,105,255
255,193,37,255
205,186,150,255
139,26,26,255
139,131,134,255
122,197,205,255
74,112,139,255
139,58,58,255
238,197,145,255
153,50,204,255
139,117,0,255
138,54,15,255
238,238,0,255
85,26,139,255
202,225,255,255
255,215,0,255
218,112,214,255
54,100,139,255
105,139,34,255
180,205,205,255
255,239,219,255
51,161,201,255
110,123,139,255
69,139,0,255
176,224,230,255
0,205,205,255
0,134,139,255
240,255,240,255
56,142,142,255
209,238,238,255
238,201,0,255
255,165,79,255
0,197,205,255
255,153,18,255
128,128,0,255
205,38,38,255
0,139,139,255
220,20,60,255
0,139,69,255
135,206,250,255
238,64,0,255
255,114,86,255
154,255,154,255
188,143,143,255
154,50,205,255
191,239,255,255
178,34,34,255
238,130,238,255
104,131,139,255
255,0,0,255
255,182,193,255
237,145,33,255
187,255,255,255
255,225,255,255
0,245,255,255
238,232,170,255
139,90,43,255
227,207,87,255
255,174,185,255
139,87,66,255
238,210,238,255
159,121,238,255
176,226,255,255
198,226,255,255
139,69,0,255
255,127,80,255
238,229,222,255
205,205,0,255
255,20,147,255
139,71,38,255
61,145,64,255
125,38,205,255
205,179,139,255
205,170,125,255
205,104,57,255
199,21,133,255
39,64,139,255
139,62,47,255
178,223,238,255
113,198,113,255
205,96,144,255
205,105,201,255
32,178,170,255
139,54,38,255
255,99,71,255
139,0,139,255
137,104,205,255
255,255,224,255
205,133,0,255
128,0,128,255
47,79,79,255
244,164,96,255
205,192,176,255
238,154,0,255
159,182,205,255
238,58,140,255
139,71,93,255
189,252,201,255
139,134,130,255
60,179,113,255
255,228,181,255
0,191,255,255
180,238,180,255
139,69,19,255
238,162,173,255
238,18,137,255
160,82,45,255
135,206,255,255
245,255,250,255
245,245,220,255
255,240,245,255
255,255,240,255
238,44,44,255
238,154,73,255
122,55,139,255
255,222,173,255
